areaCode,areaName,areaType,date,cumCasesByPublishDate,cumCasesBySpecimenDate,newCasesByPublishDate,newCasesBySpecimenDate
N92000002,Northern Ireland,nation,2022-01-03,402069,,0,
N92000002,Northern Ireland,nation,2022-01-02,402069,402069,0,
N92000002,Northern Ireland,nation,2022-01-01,402069,402069,0,
N92000002,Northern Ireland,nation,2021-12-31,402069,402069,7215,
N92000002,Northern Ireland,nation,2021-12-30,394854,402069,4701,1142
N92000002,Northern Ireland,nation,2021-12-29,390153,400927,22972,7741
N92000002,Northern Ireland,nation,2021-12-28,367181,393186,0,8137
N92000002,Northern Ireland,nation,2021-12-27,367181,385049,0,7408
N92000002,Northern Ireland,nation,2021-12-26,367181,377641,0,3472
N92000002,Northern Ireland,nation,2021-12-25,367181,374169,0,2683
N92000002,Northern Ireland,nation,2021-12-24,367181,371486,3286,4524
N92000002,Northern Ireland,nation,2021-12-23,363895,366962,3227,4474
N92000002,Northern Ireland,nation,2021-12-22,360668,362488,3231,4402
N92000002,Northern Ireland,nation,2021-12-21,357437,358086,2096,3740
N92000002,Northern Ireland,nation,2021-12-20,355341,354346,2148,2719
N92000002,Northern Ireland,nation,2021-12-19,353193,351627,1798,2114
N92000002,Northern Ireland,nation,2021-12-18,351395,349513,2075,2007
N92000002,Northern Ireland,nation,2021-12-17,349320,347506,1887,1866
N92000002,Northern Ireland,nation,2021-12-16,347433,345640,2237,2048
N92000002,Northern Ireland,nation,2021-12-15,345196,343592,2156,2243
N92000002,Northern Ireland,nation,2021-12-14,343040,341349,1581,2257
N92000002,Northern Ireland,nation,2021-12-13,341459,339092,1431,1956
N92000002,Northern Ireland,nation,2021-12-12,340028,337136,1548,1429
N92000002,Northern Ireland,nation,2021-12-11,338480,335707,1446,1459
N92000002,Northern Ireland,nation,2021-12-10,337034,334248,1806,1521
N92000002,Northern Ireland,nation,2021-12-09,335228,332727,1819,1752
N92000002,Northern Ireland,nation,2021-12-08,333409,330975,1933,1928
N92000002,Northern Ireland,nation,2021-12-07,331476,329047,1658,1836
N92000002,Northern Ireland,nation,2021-12-06,329818,327211,1635,1918
