areaCode,areaName,areaType,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2022-01-03,13422815,157758,
K02000001,United Kingdom,overview,2022-01-02,13266431,151663,
K02000001,United Kingdom,overview,2022-01-01,13117469,179637,
K02000001,United Kingdom,overview,2021-12-31,12937886,189846,
K02000001,United Kingdom,overview,2021-12-30,12748050,189213,156830
K02000001,United Kingdom,overview,2021-12-29,12559926,183037,218385
K02000001,United Kingdom,overview,2021-12-28,12377822,138831,188437
K02000001,United Kingdom,overview,2021-12-27,12239797,109077,176188
K02000001,United Kingdom,overview,2021-12-26,12132098,119923,105883
K02000001,United Kingdom,overview,2021-12-25,12013153,121880,64593
K02000001,United Kingdom,overview,2021-12-24,11891292,122186,124673
K02000001,United Kingdom,overview,2021-12-23,11769921,119789,145461
K02000001,United Kingdom,overview,2021-12-22,11647473,109655,146218
K02000001,United Kingdom,overview,2021-12-21,11542143,90629,136051
K02000001,United Kingdom,overview,2021-12-20,11453121,91743,121978
K02000001,United Kingdom,overview,2021-12-19,11361387,82886,81677
K02000001,United Kingdom,overview,2021-12-18,11279428,90418,81540
K02000001,United Kingdom,overview,2021-12-17,11190354,93045,87792
K02000001,United Kingdom,overview,2021-12-16,11097851,88376,97224
K02000001,United Kingdom,overview,2021-12-15,11010286,78610,103618
K02000001,United Kingdom,overview,2021-12-14,10932545,59610,95135
K02000001,United Kingdom,overview,2021-12-13,10873468,54661,81848
K02000001,United Kingdom,overview,2021-12-12,10819515,48854,50545
K02000001,United Kingdom,overview,2021-12-11,10771444,54073,46526
K02000001,United Kingdom,overview,2021-12-10,10719165,58194,50365
K02000001,United Kingdom,overview,2021-12-09,10660981,50867,54779
K02000001,United Kingdom,overview,2021-12-08,10610958,51342,56588
K02000001,United Kingdom,overview,2021-12-07,10560341,45691,54311
K02000001,United Kingdom,overview,2021-12-06,10515239,51459,57871
K02000001,United Kingdom,overview,2021-12-05,10464389,43992,39938
K02000001,United Kingdom,overview,2021-12-04,10421104,42848,37818
K02000001,United Kingdom,overview,2021-12-03,10379647,50584,44636
K02000001,United Kingdom,overview,2021-12-02,10329074,53945,49224
K02000001,United Kingdom,overview,2021-12-01,10276007,48374,53589
K02000001,United Kingdom,overview,2021-11-30,10228772,39716,54519
K02000001,United Kingdom,overview,2021-11-29,10189059,42583,55067
K02000001,United Kingdom,overview,2021-11-28,10146915,37681,38902
K02000001,United Kingdom,overview,2021-11-27,10110408,39567,32665
K02000001,United Kingdom,overview,2021-11-26,10070841,50091,38569
K02000001,United Kingdom,overview,2021-11-25,10021497,47240,42540
